phyto,wl,var1,var2,cor,statistic,p,method
synechococcus,660,ap,ap,1,0,0,Spearman
synechococcus,470,ap,cp,0.7,1084.0000000000002,4.76e-5,Spearman
synechococcus,532,ap,cp,-0.31,4771.999999999999,0.113,Spearman
synechococcus,660,ap,cp,0.69,1124,6.9e-5,Spearman
synechococcus,470,ap,bbp,0.73,990,1.87e-5,Spearman
synechococcus,532,ap,bbp,0.3,2544,0.116,Spearman
synechococcus,660,ap,bbp,0.91,318,5.48e-7,Spearman
synechococcus,470,ap,bb_b,-0.27,4632,0.168,Spearman
synechococcus,532,ap,bb_b,0.76,892.0000000000005,6.73e-6,Spearman
synechococcus,660,ap,bb_b,0.057,3446,0.773,Spearman
synechococcus,470,ap,cells,0.86,444.0000000000002,1.49e-6,Spearman
synechococcus,532,ap,cells,0.13,2838,0.505,Spearman
synechococcus,660,ap,cells,0.88,382.00000000000045,1.28e-6,Spearman
synechococcus,470,ap,fsc,-0.13,3694.063811923126,0.526,Spearman
synechococcus,532,ap,fsc,-0.8,5911.402259371857,4.26e-7,Spearman
synechococcus,660,ap,fsc,-0.11,3640.0555682775544,0.581,Spearman
synechococcus,470,ap,ssc,0.51,1597.7438363468782,0.0063,Spearman
synechococcus,532,ap,ssc,-0.079,3535.039538966721,0.695,Spearman
synechococcus,660,ap,ssc,0.49,1677.756049155132,0.00984,Spearman
synechococcus,470,ap,poc_optics,0.6,222.00000000000009,0.0195,Spearman
synechococcus,532,ap,poc_optics,-0.15,641.9999999999999,0.602,Spearman
synechococcus,660,ap,poc_optics,0.65,194.00000000000009,0.01,Spearman
synechococcus,470,ap,poc_cell,-0.83,834,3.35e-4,Spearman
synechococcus,532,ap,poc_cell,-0.51,688,0.0641,Spearman
synechococcus,660,ap,poc_cell,-0.83,832,3.97e-4,Spearman
synechococcus,470,ap,cn,-0.071,600,0.802,Spearman
synechococcus,532,ap,cn,-0.87,1047.9999999999998,0,Spearman
synechococcus,660,ap,cn,-0.061,594,0.832,Spearman
synechococcus,470,ap,c_chl,-0.075,602,0.793,Spearman
synechococcus,532,ap,c_chl,-0.78,996,9.88e-4,Spearman
synechococcus,660,ap,c_chl,-0.075,602,0.793,Spearman
synechococcus,470,ap,chl_line_height,0.94,236.00000000000026,3.04e-7,Spearman
synechococcus,532,ap,chl_line_height,0.24,2776,0.217,Spearman
synechococcus,660,ap,chl_line_height,0.97,96.00000000000028,1.7e-8,Spearman
