----,
DateTime:,      2022/05/09, 23:30:04, 1652164203,
PIF:,             48.98,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   122.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  417,   227345.8,    187.683,      87.962,
  418,   227385.8,    187.685,      87.799,
  419,   227425.8,    187.660,      87.099,
  420,   227465.8,    187.610,      86.522,
  421,   227505.8,    187.636,      88.477,
  422,   227545.8,    187.687,      88.619,
  423,   227585.8,    187.723,      88.939,
  424,   227625.8,    187.749,      89.582,
  425,   227665.8,    187.734,      88.164,
  426,   227705.8,    187.656,      88.866,
  427,   227745.8,    187.593,      88.290,
  428,   227785.8,    187.684,      88.087,
  429,   227825.8,    187.723,      88.592,
  430,   227865.8,    187.672,      88.612,
  431,   227905.8,    187.685,      88.038,
  432,   227945.8,    187.687,      88.250,
  433,   227985.8,    187.688,      88.627,
  434,   228025.8,    187.712,      87.372,
  435,   228065.8,    187.724,      88.715,
  436,   228105.8,    187.688,      89.476,
  437,   228145.8,    187.713,      90.714,
  438,   228185.8,    187.724,      89.830,
  439,   228225.8,    187.724,      89.457,
  440,   228265.8,    187.685,      88.733,
  441,   228305.8,    187.736,      87.651,
  442,   228345.8,    187.697,      87.638,
  443,   228385.8,    187.748,      89.213,
  444,   228425.8,    187.683,      90.570,
  445,   228465.8,    187.697,      91.303,
  446,   228505.8,    187.709,      90.386,
  447,   228545.8,    187.671,      88.671,
  448,   228585.8,    187.710,      89.936,
  449,   228625.8,    187.709,      90.077,
  450,   228665.8,    187.696,      90.480,
  451,   228705.8,    187.697,      89.947,
  452,   228745.8,    187.661,      89.996,
  453,   228785.8,    187.686,      89.810,
  454,   228825.8,    187.608,      89.813,
  455,   228865.8,    187.709,      89.934,
  456,   228905.8,    187.745,      90.971,
  457,   228945.8,    187.721,      90.278,
  458,   228985.8,    187.808,      91.021,
  459,   229025.8,    187.669,      89.634,
  460,   229065.8,    187.682,      89.683,
  461,   229105.8,    187.719,      90.370,
  462,   229145.8,    187.743,      90.162,
  463,   229185.8,    187.680,      90.109,
  464,   229225.8,    187.741,      91.711,
  465,   229265.8,    187.689,      91.026,
  466,   229305.8,    187.690,      89.099,
  467,   229345.8,    187.704,      91.628,
  468,   229385.8,    187.728,      90.057,
  469,   229425.8,    187.690,      91.173,
  470,   229465.8,    187.716,      91.365,
  471,   229505.8,    187.690,      93.178,
  472,   229545.8,    187.703,      92.456,
  473,   229585.8,    187.702,      91.744,
  474,   229625.8,    187.741,      90.548,
  475,   229665.8,    187.741,      89.293,
  476,   229705.8,    187.740,      90.675,
  477,   229745.8,    187.715,      92.793,
