exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,6,2022-08-24T19:00:00Z,2022-08-24,19:00:00,2022-11-27,2022-11-27T19:00:00Z,16348710.41627111,3010942.9678464113,1.6141135279637804,0.036818088455068496,1.3983695255418525,0.04225637806159778,0.48193947988316344,0.006971323341107537,1.8932235631750147,0.04140506088520196,2.26249854691829,0.020004130117943077
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,7,2022-08-24T21:00:00Z,2022-08-24,21:00:00,2022-11-27,2022-11-27T21:00:00Z,17662581.67844548,4801779.197228922,1.5316089639196837,0.04389754458639695,1.2983127575423787,0.007626219354836771,0.4310585681374012,0.005681308917760573,1.8445502036364558,0.06423101301603185,2.2121301475834074,0.026227562915064312
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,8,2022-08-24T23:00:00Z,2022-08-24,23:00:00,2022-11-27,2022-11-27T23:00:00Z,20927159.971889183,1769160.00305201,1.5563841503336793,0.03711812209949783,1.4428101523283992,0.04108581965601854,0.46451200690096783,0.008697778842630044,1.7229155399929934,0.06026634868406848,2.134874277837995,0.014941344341820068
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,9,2022-08-25T01:00:00Z,2022-08-25,01:00:00,2022-11-28,2022-11-28T01:00:00Z,21185966.459359363,5981415.258108347,1.5458318154785342,0.038531839142877874,1.4521836062004068,0.12506458058388806,0.46457321967776305,0.04657234676248385,1.6333313283982087,0.11800361242717561,2.1015996609541534,0.07357740129699221
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,10,2022-08-25T03:00:00Z,2022-08-25,03:00:00,2022-11-28,2022-11-28T03:00:00Z,17332773.081080683,9865956.75854445,1.5430772641774202,0.07386468822835177,1.4633045479634528,0.20943115021945688,0.5199490751722134,0.1292164132150233,1.5415276304753145,0.1677201613511652,2.0850442389056156,0.12020254542728516
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,11,2022-08-25T05:00:00Z,2022-08-25,05:00:00,2022-11-28,2022-11-28T05:00:00Z,19550307.56009572,5797882.000986941,1.4783476160192577,0.033737454274122204,1.4263379520297081,0.10772953099190326,0.49630098046430027,0.07685999424503588,1.3704569805035063,0.12696807263721493,1.9781254406649798,0.1044168646037769
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,12,2022-08-25T07:00:00Z,2022-08-25,07:00:00,2022-11-28,2022-11-28T07:00:00Z,20126820.01256229,7800296.457510222,1.5231995558712703,0.06613281140597235,1.4974866374419222,0.21889754562573394,0.4770731610958089,0.08385247483475863,1.3548451644409596,0.2290339467452154,2.002444542172733,0.15157741181748396
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,13,2022-08-25T09:00:00Z,2022-08-25,09:00:00,2022-11-28,2022-11-28T09:00:00Z,20778368.785712954,3075427.362195325,1.520307943943454,0.025637634245765158,1.5075504011868786,0.04797829800199078,0.5716821097050124,0.024034949563581428,1.3118866691164703,0.02657506577540084,1.9839756278767435,0.02461456799184929
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,14,2022-08-25T11:00:00Z,2022-08-25,11:00:00,2022-11-28,2022-11-28T11:00:00Z,20373523.867664065,3439260.1982198837,1.492114037781112,0.0057454121753632995,1.2797611262849997,0.007758371587820296,0.40462711243082894,0.0021747785161976532,1.5856378705404683,0.0383803212597144,2.175374608198563,0.0060674710448398
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,15,2022-08-25T13:00:00Z,2022-08-25,13:00:00,2022-11-28,2022-11-28T13:00:00Z,18904098.183578175,3879325.294650409,1.5255985952619238,0.012738920642702743,1.2792603228114716,0.019852366011119248,0.4025265751929224,0.0031560182955803354,1.6406705720184054,0.047682541314793554,2.149561351373384,0.01627320715797629
SYN22-5,2,italic('Synechococcus ') (WH8102),Culture,16,2022-08-25T15:00:00Z,2022-08-25,15:00:00,2022-11-28,2022-11-28T15:00:00Z,NA,NA,1.513965949052046,0.021394746175683137,1.28925723079134,0.010012722899380204,0.4208053704606129,0.01611285384336296,1.709723287737757,0.050562016912986146,2.1441935443769657,0.022616819229763035
OL22-2,1,italic('O. Lucimarinus'),Culture,1,2022-11-30T09:00:00Z,2022-11-30,09:00:00,2022-11-27,2022-11-27T09:00:00Z,53917250,4207338.774391717,0.7815466491757355,0.008701714467490632,0.6601100279501693,0.008667444495006728,1.475344435905151,0.010575791354393176,1.1338574780884485,0.05314071108398868,1.7067129462615334,0.01613407353439043
OL22-2,1,italic('O. Lucimarinus'),Culture,2,2022-11-30T11:00:00Z,2022-11-30,11:00:00,2022-11-27,2022-11-27T11:00:00Z,51666666.666666664,4380922.857496276,0.7654161727470756,0.006579215141735366,0.6349517414360438,0.008067045769303406,1.4801682790475048,0.015074505601047334,1.2211169154776909,0.06815809659702059,1.7016426747028885,0.05973879544011086
OL22-2,1,italic('O. Lucimarinus'),Culture,3,2022-11-30T13:00:00Z,2022-11-30,13:00:00,2022-11-27,2022-11-27T13:00:00Z,49816916.666666664,3934811.322774363,0.743724012087509,0.0063858553065899515,0.631793864703652,0.009993578687745301,1.4516153049654095,0.013581651721758289,1.2452074247959755,0.05364371777160387,1.7118575319781353,0.05798800411400044
OL22-2,1,italic('O. Lucimarinus'),Culture,4,2022-11-30T15:00:00Z,2022-11-30,15:00:00,2022-11-27,2022-11-27T15:00:00Z,49004250,1489740.1619074382,0.7438225987747862,0.0011379842621356488,0.6423218509397295,0.007880760920376272,1.4627641865171905,0.0013960990260859756,1.2658545255552847,0.0129342305595991,1.7217218231088185,0.044247035830333785
OL22-2,1,italic('O. Lucimarinus'),Culture,5,2022-11-30T17:00:00Z,2022-11-30,17:00:00,2022-11-27,2022-11-27T17:00:00Z,46365333.333333336,1692581.6142311525,0.7569945424566566,0.00425253661817384,0.6419761543931751,0.008290609292427854,1.4856765788631539,0.006831744473025357,1.310149144075815,0.018468542216067092,1.7489640449757764,0.030691247104881098
OL22-2,1,italic('O. Lucimarinus'),Culture,6,2022-11-30T19:00:00Z,2022-11-30,19:00:00,2022-11-27,2022-11-27T19:00:00Z,42241666.666666664,3625115.5355151556,0.7493658246261963,5.791598472180441e-4,0.6498316334186182,0.0030688257807275493,1.540749678502193,0.009470011797797225,1.3472775788848188,0.04187139300274686,1.7802754299844734,0.029971363244645544
OL22-2,1,italic('O. Lucimarinus'),Culture,7,2022-11-30T21:00:00Z,2022-11-30,21:00:00,2022-11-27,2022-11-27T21:00:00Z,47122750,4244702.043430139,0.7577592142597569,0.007790995073493065,0.6433786930729837,0.004242092057755703,1.5629656683102517,0.008753436769151354,1.3674492039431978,0.02841233874971031,1.7456609622514356,0.02447403758567662
OL22-2,1,italic('O. Lucimarinus'),Culture,8,2022-11-30T23:00:00Z,2022-11-30,23:00:00,2022-11-27,2022-11-27T23:00:00Z,46392500,6923739.81764913,0.7559130724675095,0.018744055578036337,0.6462643378785415,0.0026075038716837774,1.5663080592397352,0.010480908657597121,1.273146487197654,0.07074949165164933,1.7122273086454876,0.0442016213310176
OL22-2,1,italic('O. Lucimarinus'),Culture,9,2022-12-01T01:00:00Z,2022-12-01,01:00:00,2022-11-28,2022-11-28T01:00:00Z,53531083.333333336,5161891.576334526,0.7505293135420392,0.0037812958036059787,0.6425317658243045,0.0032341126147702706,1.539266137679752,0.011260289839202816,1.2550573621252334,0.018844224557504643,1.720416312765274,0.012880716739953259
OL22-2,1,italic('O. Lucimarinus'),Culture,10,2022-12-01T07:00:00Z,2022-12-01,07:00:00,2022-11-28,2022-11-28T07:00:00Z,53945416.666666664,5783745.144440005,0.7546778082861098,0.01668933341944892,0.6456015917393277,0.008843490444117651,1.4987339645769069,0.009719662389148663,1.1371764084007066,0.051252797343826775,1.658545784669135,0.09164929061102614
OL22-2,1,italic('O. Lucimarinus'),Culture,11,2022-12-01T09:00:00Z,2022-12-01,09:00:00,2022-11-28,2022-11-28T09:00:00Z,57222250,3192024.710117389,0.7355280743345958,0.006551323011876496,0.6449213334102298,0.008230952918917704,1.4760749936550095,0.013298994329885664,1.104771765300787,0.03339466149993796,1.698576824422756,0.027669990070769302
OL22-2,1,italic('O. Lucimarinus'),Culture,12,2022-12-01T11:00:00Z,2022-12-01,11:00:00,2022-11-28,2022-11-28T11:00:00Z,51619666.666666664,19000537.025853593,0.7412814274609936,0.008793919547933257,0.6513786812499436,0.00231404543434459,1.4871587887431432,0.01812124129186931,1.1406045909081286,0.06294424047569529,1.6551499490091082,0.06800038492641634
OL22-3,2,italic('O. Lucimarinus'),Culture,1,2022-12-07T09:00:00Z,2022-12-07,09:00:00,2022-11-27,2022-11-27T09:00:00Z,56663625,15485102.354763433,0.7471128192821826,0.0018387491181814312,0.6530334164884739,0.0010819948906192567,1.5056397518613989,0.011607545991366925,1.113747080278486,0.07906931337785394,1.6390366397852256,0.05041272008338702
OL22-3,2,italic('O. Lucimarinus'),Culture,2,2022-12-07T11:00:00Z,2022-12-07,11:00:00,2022-11-27,2022-11-27T11:00:00Z,58089750,3851811.9058870636,0.7401600443498944,0.00458496711242689,0.6393529771175516,0.008241650980484712,1.5215655918895241,0.009597971107880977,1.081639888285343,0.04864862127252186,1.6455849653498633,0.05402111988741572
OL22-3,2,italic('O. Lucimarinus'),Culture,3,2022-12-07T13:00:00Z,2022-12-07,13:00:00,2022-11-27,2022-11-27T13:00:00Z,56340166.75,5052104.085977998,0.7564000224326773,0.013161612789177926,0.6322820560928772,0.002148217083138663,1.4945700158649469,0.01860167257698464,1.2092678704588242,0.03184454514143506,1.7089761952787934,0.012278942055370445
OL22-3,2,italic('O. Lucimarinus'),Culture,4,2022-12-07T15:00:00Z,2022-12-07,15:00:00,2022-11-27,2022-11-27T15:00:00Z,41840187.5,18638379.283277065,0.7498810132334008,0.008440588442841674,0.6330738860152071,0.007568797355224673,1.5514177730188974,0.02954122150902357,1.2734863910320506,0.03958899405684898,1.6886219088199388,0.09972799538143652
OL22-3,2,italic('O. Lucimarinus'),Culture,5,2022-12-07T17:00:00Z,2022-12-07,17:00:00,2022-11-27,2022-11-27T17:00:00Z,61673750,3794358.1857366427,0.7473639822092775,0.009912368687376064,0.6449916121388135,0.007440899605741192,1.590152503538643,0.014053486073728232,1.3007117660355427,0.0239836830912442,1.7518462340733503,0.011255827637098372
OL22-3,2,italic('O. Lucimarinus'),Culture,6,2022-12-07T19:00:00Z,2022-12-07,19:00:00,2022-11-27,2022-11-27T19:00:00Z,61747812.5,3368302.8143203417,0.7487075440203577,0.01018246622859269,0.6443966437394644,0.004349295129277187,1.6565325464893232,0.010531560749983506,1.3413500178962452,0.03572806723148752,1.7499339853133957,0.01480505803660474
