exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,673.2,0.3566883925,2.28422652620063e-4,0.0243796861440388,4.23109996016468e-5,0.3323087063559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,677.6,0.359747886715592,2.3067325996464506e-4,0.0244107748556041,4.459833743518689e-5,0.3353371118599879,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,681.9,0.363153092965592,2.2871116062601638e-4,0.0228511536056041,4.161703906994085e-5,0.3403019393599879,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,686.1,0.366042613442313,2.2835178082255896e-4,0.0197569681075258,4.183414985976935e-5,0.3462856453347872,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,690,0.3670069045,2.3170497675624715e-4,0.0160634036440388,4.319839539081021e-5,0.3509435008559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,693.9,0.366943779842095,2.3000464465726777e-4,0.0124643054689864,4.255424834599479e-5,0.35447947437310856,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,697.8,0.365388728265157,2.3234976324921158e-4,0.00914759582852522,4.445273314624675e-5,0.3562411324366318,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,701.8,0.363048393902788,2.325376367173107e-4,0.00650245723226391,4.326076142916475e-5,0.3565459366705241,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,705.5,0.361713267550524,2.3222547206316018e-4,0.00499035425899357,4.8265109073582455e-5,0.35672291329153044,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,709.1,0.359904828942185,2.3256732324863656e-4,0.00429239205686228,4.617914107013388e-5,0.35561243688532274,0.01669896535638975,2.049926096884982
